0;コンピュータウィルスを組<r1_く>み込<r1_こ>んだ\n黒<r1_くろ>い歯車<r2_はぐるま>を、相手<r2_あいて>の体内<r2_たいない>に埋<r1_う>め込<r1_こ>んで\n狂<r1_くる>わせる
1;小<r1_ちい>さな火球<r2_かきゅう>を\n吐<r1_は>き出<r1_だ>して攻撃<r2_こうげき>
2;必殺技テキスト3
3;必殺技テキスト4
4;口<r1_くち>から火炎<r2_かえん>の息<r1_いき>を吐<r1_は>く
5;敵<r1_てき>に当<r1_あ>てるまで誘導<r2_ゆうどう>できる\n矢印<r2_やじるし>の形<r1_かたち>をした飛<r1_と>び道具<r2_どうぐ>
6;必殺技テキスト7
7;強靭<r2_きょうじん>な脚力<r2_きゃくりょく>を生<r1_い>かし敵<r1_てき>の懐<r1_ふところ>に\n転<r1_ころ>がり込<r1_こ>んで放<r1_はな>つ
8;口<r1_くち>から硬<r1_かた>い木<r1_き>の実<r1_み>を放<r1_はな>つ
9;暗黒の炎で敵を攻撃する
10;強力<r2_きょうりょく>な火炎弾<r3_かえんだん>を吐<r1_は>き出<r1_だ>す
11;空気<r2_くうき>を吸<r1_す>い込<r1_こ>んで一気<r2_いっき>に空気弾<r3_くうきだん>を\n吐<r1_は>き出<r1_だ>す
12;大<r1_おお>きな注射器<r3_ちゅうしゃき>を投<r1_な>げつけ相手<r2_あいて>から\n血<r1_ち>を抜<r1_ぬ>き取<r1_と>ってしまう
13;必殺技テキスト14
14;必殺技テキスト15
15;必殺技テキスト16
16;必殺技テキスト17
17;必殺技テキスト18
18;必殺技テキスト19
19;必殺技テキスト20
20;口<r1_くち>から小<r1_ちい>さな火球<r2_かきゅう>を吐<r1_は>き出<r1_だ>す
21;必殺技テキスト22
22;必殺技テキスト23
23;必殺技テキスト24
24;羽<r1_はね>で増幅<r2_ぞうふく>させた静電気<r3_せいでんき>を飛<r1_と>ばす
25;渦<r1_うず>を巻<r1_ま>く幻影<r2_げんえい>の炎<r1_ほのお>
26;両腕<r2_りょううで>を燃<r1_も>え上<r1_あ>がらせ\n相手<r2_あいて>を殴<r1_なぐ>りぬける
27;巨大<r2_きょだい>な翼<r1_つばさ>を羽<r1_は>ばたかせ\n鋭利<r2_えいり>な真空刃<r3_しんくうば>を発生<r2_はっせい>させる
28;口<r1_くち>から吐<r1_は>き出<r1_だ>す高熱<r2_こうねつ>の青<r1_あお>い炎<r1_ほのお>
29;必殺技テキスト30
30;必殺技テキスト31
31;必殺技テキスト32
32;必殺技テキスト33
33;必殺技テキスト34
34;必殺技テキスト35
35;必殺技テキスト36
36;口<r1_くち>から超高熱火炎<r5_ちょうこうねつかえん>を吐<r1_は>き出<r1_だ>し\n全<r1_すべ>てを焼<r1_や>き払<r1_はら>う
37;花<r1_はな>びら全体<r2_ぜんたい>から放<r1_はな>つ太陽光線<r4_たいようこうせん>
38;口<r1_くち>から渦巻状<r3_うずまきじょう>の強力<r2_きょうりょく>な風<r1_かぜ>を一気<r2_いっき>に放<r1_はな>つ
39;巨大<r2_きょだい>なウンチを投<r1_な.>げる
40;敵<r1_てき>の息<r1_いき>の根<r1_ね>を止<r1_と>める究極奥義<r4_きゅうきょくおうぎ>
41;必殺技テキスト42
42;爆音<r2_ばくおん>と共<r1_とも>に強力<r2_きょうりょく>な火炎<r2_かえん>を吐<r1_は>き出<r1_だ>す
43;黄金<r2_おうごん>に輝<r1_かがや>く拳<r1_こぶし>で相手<r2_あいて>を攻撃<r2_こうげき>する
44;必殺技テキスト45
45;長<r1_なが>い爪<r1_つめ>を使<r1_つか>って相手<r2_あいて>を攻撃<r2_こうげき>する
46;伸縮自在<r4_しんしゅくじざい>の両腕<r2_りょううで>を伸<r1_の>ばし\n相手<r2_あいて>の体<r1_からだ>を貫<r1_つらぬ>き通<r1_とお>す
47;必殺技テキスト48
48;伸縮自在<r4_しんしゅくじざい>の両腕<r2_りょううで>を伸<r1_の>ばし\n相手<r2_あいて>の体<r1_からだ>を貫<r1_つらぬ>き通<r1_とお>す
49;必殺技テキスト50
50;必殺技テキスト51
51;必殺技テキスト52
52;必殺技テキスト53
53;必殺技テキスト54
54;必殺技テキスト55
55;角<r1_つの>からエネルギー弾<r1_だん>を発射<r2_はっしゃ>
56;翼<r1_つばさ>を羽<r1_は>ばたかせ流星<r2_りゅうせい>のように\n羽<r1_はね>を飛<r1_と>ばす
57;巨大<r2_きょだい>なウンチを投<r1_な>げる
58;必殺技テキスト59
59;口<r1_くち>から超高熱火炎<r5_ちょうこうねつかえん>を吐<r1_は>き出<r1_だ>し\n全<r1_すべ>てを焼<r1_や>き払<r1_はら>う
60;必殺技テキスト61
61;聖<r1_せい>と魔<r1_ま>の光球<r2_こうきゅう>で立体魔方陣<r5_りったいまほうじん>を作<r1_つく>り出<r1_だ>し\n敵<r1_てき>を封<r1_ふう>じ込<r1_こ>める。この魔方陣<r3_まほうじん>に閉<r1_と>じ\n込<r1_こ>められると完全<r2_かんぜん>に消滅<r2_しょうめつ>するか大<r1_だい>ダ\nメージを負<r1_お>うか1/2で決<r1_き>まってしまう
62;必殺技テキスト63
63;ハートを飛<r1_と>ばす
64;翼<r1_つばさ>にある3連<r1_れん>ビーム砲<r1_ほう>、及<r1_およ>び\n胸部発射口<r5_きょうぶはっしゃこう>からビーム弾幕<r2_だんまく>を放<r1_はな>つ
65;葉<r1_は>の様<r1_よう>な手先<r2_てさき>から無数<r2_むすう>の細<r1_ほそ>いビームを\n放<r1_はな>つ
66;超打撃力<r4_ちょうだげきりょく>を誇<r1_ほこ>る拳<r1_こぶし>の一撃<r2_いちげき>
67;必殺技テキスト68
68;必殺技テキスト69
69;必殺技テキスト70
70;無数<r2_むすう>の蝙蝠<r2_こうもり>を操<r1_あやつ>り、奇襲<r2_きしゅう>をかける
71;必殺技テキスト72
72;二度<r2_にど>と戻<r1_もど>ることはできない亜空間<r3_あくうかん>への\n扉<r1_とびら>を出現<r2_しゅつげん>させて敵<r1_てき>を葬<r1_ほうむ>り去<r1_さ>る
73;コウモリのような暗黒<r2_あんこく>の飛翔物<r3_ひしょうぶつ>を\n無数<r2_むすう>に放<r1_はな>って相手<r2_あいて>を焼<r1_や>き尽<r1_つ>くす
74;頭頂部<r3_とうちょうぶ>のブレードから発<r1_はっ>する\n強力<r2_きょうりょく>な雷撃<r2_らいげき>
75;必殺技テキスト76
76;両胸<r2_りょうむね>の砲門<r2_ほうもん>から原子<r2_げんし>レベルで敵<r1_てき>を\n破壊<r2_はかい>する
77;必殺技テキスト78
78;両腕<r2_りょううで>の鋭<r1_するど>い鉤爪<r2_かぎづめ>で相手<r2_あいて>を切<r1_き>り裂<r1_さ>く
79;強力<r2_きょうりょく>な雷撃<r2_らいげき>
80;冷<r1_つめ>たい炎<r1_ほのお>を放<r1_はな>ち敵<r1_てき>の心<r1_こころ>を凍<r1_こお>らせる
