0;NO
1;Small HP Disk
2;Medium HP Disk
3;Large HP Disk
4;Ultra HP Disk
5;Small MP Disk
6;Medium MP Disk
7;Large MP Disk
8;Disco Doppio
9;Disco di Cura
10;Disco Onnipotente
11;Disco Protettivo
12;Disco Rianimatore
13;Super Disco Rianimatore
14;Cerotto
15;Cerotto DX
16;Incrementa Attacco
17;Incrementa Difesa
18;Incrementa Velocita'
19;Incremeta Stats
20;Incrementa Attacco s
21;Incrementa Difesa s
22;Incrementa Velocita' s
23;Pilota Automatico
24;Chip Attacco
25;Chip Difesa
26;Chip Int
27;Chip Velocita'
28;Chip HP
29;Chip Mp
30;Chip Malv A
31;Chip Malv D
32;Chip Malv E
33;Toilet Port
34;Manuale D'all
35;Pillola Riposo
36;Talismano Anti Nemici
37;Segnale Per Nemici
38;Scarpe Cura
39;Carne
40;Carne Grande
41;Carne Enorme
42;Super Carota
43;Ravanello
44;Erba Spinosa
45;Digifungo
46;Ghiacciofungo
47;Fungo Migliore
48;Digipine
49;Mela Dolce
50;Limone Rigenerante
51;Ghianda D'oro
52;Grande Bacca
53;Castagna
54;Mandragola
55;Fior Di Cactus
56;Banana Arancione
57;Frutto Della Forza
58;Bacca Della Calma
59;Foglia Velocità
60;Frutto Della Saggezza
61;Frutto HP
62;Frutto Della Pace
63;Digipesce
64;Digicarpa
65;Digitrota
66;Digitrota Nera
67;Digipescegatto
68;Digianguilla
69;Digisardina
70;Digisushi
71;Digikoi
72;Digimakoi
73;Digitanako
74;Digiserpe
75;Digidojou
76;Digiunagi
77;Digiarowana
78;Digipiracuchu
79;Carne Guasta
80;Fungo Felicità
81;Melone Chiaro
82;Elemento Guasto
83;Elemento Inutilizzato
84;Grande Pescestella
85;Stella Marina
86;Stella Marina Appuntita
87;Stella Sferica
88;Stella Liscia
89;Stella Robusta
90;Orecchini Grandi
91;Ciottolo
92;Digi Fungo Verde
93;Colata Sporca
94;Disco RE
95;Elemento Guasto
96;Elemento Guasto
97;Elemento Guasto
98;Elemento Guasto
99;Elemento Guasto
100;Grande Artiglio
101;Palla di Fuoco
102;Ala Fiammeggiante
103;Ala Oscura
104;Mano della Giustizia
105;Veste Pura
106;Ala Mitica
107;Casco d'acciaio
108;Sangue di Serpente Marino
109;Pelle di Mythril 
110;Corno Feroce
111;Seme Solare
112;Artiglio Migliore
113;Virus Profondo
114;Gatto Sacro
115;Armatura Inespugnabile
116;Corno di Mythril
117;Parti di Metallo
118;Prototipo
119;Arma del drago oscuro
120;Felpa d'amore
121;Re Banana
122;Ala Sacra d'oro
123;Armatura d'oro
124;Corno elettrico
125;Banana Metallica
126;Ala Sacra
127;Grande Rivoltella
128;Seme Lilla
129;Esplosione di Pugni
130;Allenamento
131;Grande Ala d'argento
132;Ala Nera
133;Grandi Spade Gemelle
134;Mano di Mythril
135;Arco Sacro
136;Fiamma Blu
137;Corno Reale
138;Ala del Cielo
139;Corno del Mare
140;Acqua Sacra
141;Prova di Coraggio
142;Capelli Ammalianti
143;Pistola Infernale
144;Anima Caotica
145;Importanza Oscura
146;Uniforme della Giustizia
147;Gioiello d'amore
148;Prova del Cavaliere Santo
149;Ala del Sole
150;Luna Piena
151;Programma X
152;Lancia Sacra
153;Metallo di Ghiaccio
154;Grande Pistola
155;Grande Spada
156;Lancia del Drago Imperatore
157;Ala Angelica d'oro
158;Suolo Ghiacciato
159;Digi Mistero
160;Matrimonio Digitale
