0;予定<r2_よてい>を延長<r2_えんちょう>し続<r1_つづ>けられていた\nGIGO<r4_ギゴ>カンパニーのサーバーメンテナンスが\n昨日<r2_さくじつ>未明<r2_みめい>、正式<r2_せいしき>に終了<r2_しゅうりょう>した\n\n今回<r2_こんかい>のメンテナンスが\n予定<r2_よてい>を大幅<r2_おおはば>に上回<r2_うわまわ>る延長<r2_えんちょう>となった原因<r2_げんいん>は\n説明<r2_せつめい>されていないが\n各種<r2_かくしゅ>ネットワークの掲示板<r3_けいじばん>では\n様々<r2_さまざま>な噂<r1_うわさ>が飛<r1_と>び交<r1_か>っている\n\n中<r1_なか>にはGIGO<r4_ギゴ>のオンラインサービス上<r1_じょう>で\nデータどころか実在<r2_じつざい>の人間<r2_にんげん>が\nロストして、サイバースペースに取<r1_と>り込<r1_こ>まれて\nしまう事故<r2_じこ>が起<r1_お>こったのだという\n突飛<r2_とっぴ>なものまで出<r1_で>ているのだ\n\n例<r1_れい>によって、今回<r2_こんかい>のメンテナンスについて\nGIGO<r4_ギゴ>カンパニーからの\n正式<r2_せいしき>な声明<r2_せいめい>は出<r1_だ>されていない
1;GIGO<r4_ギゴ>カンパニー躍進<r2_やくしん>の\nきっかけとなった世界<r2_せかい>規模<r2_きぼ>の\nネットワーク分断<r2_ぶんだん>現象<r2_げんしょう>「デジタル・ディバイド」\n\nその際<r1_さい>に、なぜGIGO<r4_ギゴ>カンパニーだけが\n影響<r2_えいきょう>を受<r1_う>けず、平素<r2_へいそ>通<r1_どお>りのネットワークサービスを\n提供<r2_ていきょう>できていたのか？\n\nGIGO<r4_ギゴ>カンパニーは、それを\n圧倒的<r3_あっとうてき>容量<r2_ようりょう>を持<r1_も>つデジタルデータ領域<r2_りょういき>\n「デジタルワールド」の発見<r2_はっけん>、運用<r2_うんよう>技術<r2_ぎじゅつ>の\n構築<r2_こうちく>によるものとしているが、\nそういった公式<r2_こうしき>発表<r2_はっぴょう>はダミーに過<r1_す>ぎず\n実際<r2_じっさい>は「デジタル・ディバイド」を\n仕組<r2_しく>んだのがGIGO<r4_ギゴ>カンパニー\nそのものであるとの風説<r2_ふうせつ>も\nネットの世界<r2_せかい>には後<r1_あと>を絶<r1_た>たない\n
2;GIGO<r4_ギゴ>カンパニーの\nオンラインプログラム部門<r2_ぶもん>の長<r1_おさ>、\nヤーコフ・ボリソヴィッチ・ペトロフ博士<r2_はかせ>が\n行方<r2_ゆくえ>不明<r2_ふめい>になっていることが判明<r2_はんめい>した\n\n博士<r2_はかせ>は「大規模<r3_だいきぼ>デジタル記憶域<r3_きおくいき>の運用<r2_うんよう>」に関<r1_かん>する\n世界的<r3_せかいてき>権威<r2_けんい>であり、氏<r1_し>の失踪<r2_しっそう>と\n「デジタル・ディバイド」などの関連<r2_かんれん>、\nまた今後<r2_こんご>のGIGO<r4_ギゴ>カンパニーの\nサービスの安定性<r3_あんていせい>を疑<r1_うたが>う声<r1_こえ>が\n再<r1_ふたた>び上<r1_あ>がっている
3;GIGO<r4_ギゴ>カンパニーは本日<r2_ほんじつ>\nペトロフ博士<r2_はかせ>の失踪<r2_しっそう>に関<r1_かん>する公式<r2_こうしき>見解<r2_けんかい>を\n発表<r2_はっぴょう>した。\n\nそれによると、博士<r2_はかせ>の失踪<r2_しっそう>は\n個人的<r3_こじんてき>理由<r2_りゆう>によるものであり\nこれは同社<r2_どうしゃ>のサービス、\nまた機密<r2_きみつ>情報<r2_じょうほう>の保安<r2_ほあん>上<r1_じょう>の見地<r2_けんち>からも\n大<r1_おお>きな問題<r2_もんだい>にはつながらないとしている\n\n片<r1_かた>や専門家<r3_せんもんか>の意見<r2_いけん>には\n特定<r2_とくてい>技術者<r3_ぎじゅつしゃ>の担当<r2_たんとう>離脱<r2_りだつ>による\nセキュリティホールの頻出<r2_ひんしゅつ>を予見<r2_よけん>する\n声<r1_こえ>もあり、業界<r2_ぎょうかい>内<r1_ない>でも同社<r2_どうしゃ>発表<r2_はっぴょう>に対<r1_たい>する意見<r2_いけん>は\n大<r1_おお>きく割<r1_わ>れている
4;最近<r2_さいきん>、中高生<r3_ちゅうこうせい>を中心<r2_ちゅうしん>に爆発的<r3_ばくはつてき>な\nブームを巻<r1_ま>き起<r1_お>こしている\nGIGO<r4_ギゴ>社<r1_しゃ>のネットワークを利用<r2_りよう>したゲーム\n「デジタルモンスター」\n\nこれは自分<r2_じぶん>がデジタル生命体<r3_せいめいたい>「デジモン」の\nテイマーとなり、オンラインで自分<r2_じぶん>が育成<r2_いくせい>した\n「デジモン」を対戦<r2_たいせん>させるというもの\n\nその中毒性<r3_ちゅうどくせい>の高<r1_たか>さから\n子供<r2_こども>以上<r2_いじょう>にはまり込<r1_こ>んでいしまう大人<r2_おとな>なども\n出<r1_で>ており、その人気<r2_にんき>の幅広<r2_はばひろ>さがうかがえるという
5;GIGO<r4_ギゴ>カンパニー代表<r2_だいひょう>、\n久我<r2_くが>ケンゾウ氏<r1_し>は、数日<r2_すうじつ>前<r1_まえ>から\n息子<r2_むすこ>の久我<r2_くが>ユウヤ君<r1_くん>（14）の足取<r2_あしど>りが\nつかめなくなっていることを\nメディアに対<r1_たい>し明<r1_あき>らかにした。\n\n誘拐<r2_ゆうかい>事件<r2_じけん>等<r1_など>の可能性<r3_かのうせい>もあると見<r1_み>て\n警察<r2_けいさつ>はすでに捜査<r2_そうさ>を開始<r2_かいし>しているが\n現在<r2_げんざい>まで脅迫文<r3_きょうはくぶん>の類<r1_たぐい>は届<r1_とど>けられていない。\n\nユウヤ君<r1_くん>は自立心<r3_じりつしん>が強<r1_つよ>く\n一人<r2_ひとり>で行動<r2_こうどう>することが多<r1_おお>かったので\n今回<r2_こんかい>のことも深<r1_ふか>くは心配<r2_しんぱい>していないと\nいうことだが、事実<r2_じじつ>関係<r2_かんけい>は未<r1_いま>だ調査中<r3_ちょうさちゅう>である。
6;本日<r2_ほんじつ>未明<r2_みめい>、都内<r2_とない>の一部<r2_いちぶ>住宅地<r3_じゅうたくち>が\n断水<r2_だんすい>状態<r2_じょうたい>となっていたことがわかった\n\n原因<r2_げんいん>は現在<r2_げんざい>調査中<r3_ちょうさちゅう>だが\n周辺<r2_しゅうへん>の水道管<r3_すいどうかん>などの設備<r2_せつび>に不具合<r3_ふぐあい>は\n発見<r2_はっけん>されず、数時間<r3_すうじかん>後<r1_ご>、原因<r2_げんいん>不明<r2_ふめい>のまま\n断水<r2_だんすい>状態<r2_じょうたい>は回復<r2_かいふく>した\n\n局地<r2_きょくち>的<r1_てき>な断水<r2_だんすい>の理由<r2_りゆう>が判明<r2_はんめい>しないのは\n異例<r2_いれい>のことだという
7;昨夜<r2_さくや>夜半<r2_やはん>から断続的<r3_だんぞくてき>に続<r1_つづ>いていた\n関東<r2_かんとう>地方<r2_ちほう>における大規模<r3_だいきぼ>な停電<r2_ていでん>は\n本日<r2_ほんじつ>の夕刻<r2_ゆうこく>に向<r1_む>け、ようやく復旧<r2_ふっきゅう>の見通<r2_みとお>し\n\nこの現象<r2_げんしょう>による経済的<r3_けいざいてき>な損失<r2_そんしつ>は\n莫大<r2_ばくだい>であり、およそ２４０万人<r2_まんにん>が\n交通<r2_こうつう>機関<r2_きかん>の停止<r2_ていし>などの影響<r2_えいきょう>を受<r1_う>けたとの\n試算<r2_しさん>が上<r1_あ>がっている\n\n原因<r2_げんいん>は、GIGO<r4_ギゴ>カンパニーによる\nサーバメンテナンス中<r1_ちゅう>の電力<r2_でんりょく>消費<r2_しょうひ>が\n一時的<r3_いちじてき>に、各地<r2_かくち>で爆発的<r3_ばくはつてき>に増加<r2_ぞうか>する\n現象<r2_げんしょう>が発生<r2_はっせい>したためと見<r1_み>られている
8;水道<r2_すいどう>、電気<r2_でんき>、ガス等<r1_など>、ライフライン供給<r2_きょうきゅう>に\n異変<r2_いへん>が頻発<r2_ひんぱつ>していることを重<r1_おも>く見<r1_み>た行政<r2_ぎょうせい>は\n担当<r2_たんとう>地区<r2_ちく>のライフライン供給<r2_きょうきゅう>、また\nサービス管理<r2_かんり>ネットワークシステムを運営<r2_うんえい>する\nGIGO<r4_ギゴ>カンパニーへの指導<r2_しどう>を行<r1_おこな>ったことを発表<r2_はっぴょう>した\n\n今回<r2_こんかい>の指導<r2_しどう>は一部<r2_いちぶ>公開<r2_こうかい>されていない\nプログラムによる管理<r2_かんり>が行<r1_おこな>われていたことを受<r1_う>け\nその公開<r2_こうかい>を求<r1_もと>めたもの\n\nこれを受<r1_う>け、GIGO<r4_ギゴ>カンパニーは\n運営用<r3_うんえいよう>アプリケーションのソース情報<r2_じょうほう>の\n行政<r2_ぎょうせい>への開示<r2_かいじ>準備<r2_じゅんび>を開始<r2_かいし>したことを発表<r2_はっぴょう>した
9;オンラインゲームの流行<r2_りゅうこう>にともない\nネットの世界<r2_せかい>への埋没<r2_まいぼつ>、\nまた、「ロスト」と呼<r1_よ>ばれる現象<r2_げんしょう>が\n若者<r2_わかもの>の間<r1_あいだ>で増加<r2_ぞうか>しているようだ\n\n「ロスト」は本来<r2_ほんらい>、現実<r2_げんじつ>世界<r2_せかい>との\nコネクションを失<r1_うしな>う（ロストする）ことから\n名付<r2_なづ>けられており、ゲームに没入<r2_ぼつにゅう>しすぎることを\n表<r1_あらわ>していたが、最近<r2_さいきん>は\nゲームへのログインユーザーが\n行方<r2_ゆくえ>不明<r2_ふめい>になったという事案<r2_じあん>が何件<r2_なんけん>か\n発生<r2_はっせい>しており、\n肉体<r2_にくたい>ごと失踪<r2_しっそう>（ロスト）しているとの\n意味合<r3_いみあ>いも帯<r1_お>びてきているという
