0;なし
1;生<r1_う>まれたばかりのデジタルモンスター。\nスライム状<r1_じょう>の体<r1_からだ>の表面<r2_ひょうめん>には、\n黒<r1_くろ>い産毛<r2_うぶげ>がびっしり生<r1_は>えている。
2;全身<r2_ぜんしん>硬<r1_かた>い毛<r1_け>「ミスリルヘアー」に包<r1_つつ>まれた\nスライム型<r1_がた>デジモン。\n生<r1_う>まれてすぐに攻撃的<r3_こうげきてき>な性格<r2_せいかく>が現<r1_あら>われる。
3;体中<r2_からだじゅう>を細長<r2_ほそなが>く柔<r1_やわ>らかい毛<r1_け>の様<r1_よう>な物<r1_もの>で\n覆<r1_おお>われた種子型<r3_しゅしがた>デジモン。\nデジタマから孵化<r2_ふか>すると、\n成長<r2_せいちょう>をするのに適<r1_てき>した環境<r2_かんきょう>を求<r1_もと>めて、\nタンポポの種<r1_たね>の様<r1_よう>にフワフワと空中<r2_くうちゅう>を漂<r1_ただよ>う。
4;半透明<r3_はんとうめい>の体<r1_からだ>で、「ネットの海<r1_うみ>」を\nクラゲの様<r1_よう>に漂<r1_ただよ>っている、\nデジモンの赤<r1_あか>ちゃん。\n現在<r2_げんざい>までに発見<r2_はっけん>されたデジモンの中<r1_なか>でも\n最<r1_もっと>も原始的<r3_げんしてき>な構造<r2_こうぞう>をしている。
5;個体数<r3_こたいすう>が少<r1_すく>なく、非常<r2_ひじょう>に希少<r2_きしょう>なデジモン。\n竜系<r2_りゅうけい>のデジモンの幼年期<r3_ようねんき>は絶対的<r3_ぜったいてき>に数<r1_かず>が\n少<r1_すく>なく、そのほとんどが成長<r2_せいちょう>する前<r1_まえ>に\n捕獲<r2_ほかく>や死滅<r2_しめつ>してしまうと言<r1_い>われている。
6;表面<r2_ひょうめん>を覆<r1_おお>っていた産毛<r2_うぶげ>が抜<r1_ぬ>け、\n体<r1_からだ>も一回<r2_ひとまわ>り大<r1_おお>きくなった小型<r2_こがた>デジモン。\n活発<r2_かっぱつ>に動<r1_うご>き回<r1_まわ>れるようになったが、\nまだ戦<r1_たたか>うことはできない。
7;イヌやネコなどのペット系<r1_けい>小動物<r3_しょうどうぶつ>のデータが\n融合<r2_ゆうごう>しているデジモン。意外<r2_いがい>と動<r1_うご>きが速<r1_はや>いので\n逃<r1_に>げないように注意<r2_ちゅうい>が必要<r2_ひつよう>であるが、\nペットのようにかわいがるととても懐<r1_なつ>く。
8;毒<r1_どく>をもつ様々<r2_さまざま>な植物<r2_しょくぶつ>のデータが混<r1_ま>ざり合<r1_あ>い、\nツボミの様<r1_よう>な姿<r1_すがた>をしている植物型<r3_しょくぶつかた>デジモン。\n普段<r2_ふだん>は葉<r1_は>っぱにのって空中<r2_くうちゅう>を漂<r1_ただよ>い、\n何<r1_なに>もしない限<r1_かぎ>り攻撃<r2_こうげき>してこない。
9;体<r1_からだ>（頭<r1_あたま>？）の下<r1_した>に手足<r2_てあし>のようなものが\n生<r1_は>えている小型<r2_こがた>のデジモン。\n手足<r2_てあし>の生<r1_は>えた幼年期<r3_ようねんき>デジモンは非常<r2_ひじょう>に珍<r1_めずら>しく\n見<r1_み>た目<r1_め>にも大変<r2_たいへん>可愛<r2_かわい>らしい。
