0;すべてが無<r1_む>に帰<r1_き>す前<r1_まえ>に…\n\nデジタル化<r1_か>し世界<r2_せかい>の再生<r2_さいせい>を
1;上層<r2_じょうそう>部<r1_ぶ>より実験<r2_じっけん>の中止<r2_ちゅうし>が通達<r2_つうたつ>された\n\n実験<r2_じっけん>は失敗<r2_しっぱい>との判断<r2_はんだん>か？\n\nそんなバカな！\n\nあのプログラムは\n\n失敗<r2_しっぱい>などではなく\n\n未来<r2_みらい>への可能性<r3_かのうせい>だ\n\n私<r1_わたし>は断固<r2_だんこ>として\n\nこの研究<r2_けんきゅう>を守<r1_まも>らねばならない
2;情報<r2_じょうほう>は、全<r1_すべ>ての意識<r2_いしき>に\n\n等<r1_ひと>しく開放<r2_かいほう>されていなければならない\n\n真<r1_しん>のオープンソース\n\nたとえ楽天家<r3_らくてんか>だと笑<r1_わら>われても\n\n私<r1_わたし>は、あきらめるわけにはいかない\n\n理想<r2_りそう>のあるところに、光<r1_ひかり>は差<r1_さ>し\n\nそこにこそ挑戦<r2_ちょうせん>する価値<r2_かち>がある
3;ココハドコ？\n\nダレモイナイ\n\nナニモナイ\n\nサガシニイク？\n\nダレカミツケテクレル？
4;スコシずツ\n\nメガあイテイク\n\nスコシずツ\n\nワカッテくル\n\nコノせかいノこと\n\nもっとシリタイ
5;秘密裏<r3_ひみつり>に完成<r2_かんせい>させた\n\n試作型<r3_しさくがた>プログラムは\n\nついに理論<r2_りろん>上<r1_じょう>の安定<r2_あんてい>値<r1_ち>を超<r1_こ>えた\n\nそしてすでにあれは\n\n私<r1_わたし>の手<r1_て>から離<r1_はな>れて\n\n独<r1_ひと>り歩<r1_ある>きを始<r1_はじ>めている\n\n不安<r2_ふあん>がよぎる\n\nこれで、よかったのか？\n\n生命<r2_せいめい>の制御<r2_せいぎょ>は不可能<r3_ふかのう>だとするなら\n\nこれは神<r1_かみ>に背<r1_そむ>く行為<r2_こうい>か？\n\nその結論<r2_けつろん>を出<r1_だ>せぬまま\n\nプログラムはすでに自律的成長<r5_じりつてきせいちょう>を\n\n始<r1_はじ>めている…
6;いろいろなきおく\n\nことばが\n\nながれこんでくる\n\nここはどこ？\n\nだれかがいった\n\nここは、デジタルワールド\n\nここは、リアルワールド\n\nここは、そのハザマ
7;様々<r2_さまざま>な情報<r2_じょうほう>\n\n意識<r2_いしき>\n\nそれらがものすごい速度<r2_そくど>で\n\n目<r1_め>の前<r1_まえ>を駆<r1_か>け抜<r1_ぬ>けていった\n\n手<r1_て>を伸<r1_の>ばせばすぐ\n\n全<r1_すべ>ての情報<r2_じょうほう>にアクセスできる\n\n全<r1_すべ>ての意識<r2_いしき>にアクセスできる\n\nでは、私<r1_わたし>は？\n\nここにいる私<r1_わたし>とは何者<r2_なにもの>か？\n\nそれだけが今<r1_いま>もわからない
8;私<r1_わたし>はヴィティウム\n\nそう呼<r1_よ>んだ者<r1_もの>がいる\n\nそれは私<r1_わたし>の創造<r2_そうぞう>主<r1_しゅ>か？\n\nしかし、それは単<r1_たん>なる意識<r2_いしき>だった\n\n融合<r2_ゆうごう>を、試<r1_こころ>みる\n\nこの意識<r2_いしき>の中<r1_なか>には\n\n何<r1_なに>があるのか？\n\nはじめてそれを知<r1_し>りたいと思<r1_おも>った
9;どういうことだ？\n\n私<r1_わたし>の心<r1_こころ>と、意識<r2_いしき>が、自分<r2_じぶん>自身<r2_じしん>で\n\n制御<r2_せいぎょ>できない\n\nヴィティウム？\n\n彼<r1_かれ>が私<r1_わたし>のなかにいるのか？\n\nそんなばかな\n\nそんなコと…
