0;Pianura Ferroviaria
1;Foresta
2;Grotta Fluorescente
3;Antica città sommersa
4;Deserto
5;Canyon Notte
6;Labirinto Sottomarino
7;Vulcano
8;Scogliera
9;Castello Binario
10;Stagno
11;Nikolai Petrov
12;Se Dejitori
13;Sashenka
14;<n4104>
15;Yuuya Kuga
16;Nero
17;Mealey Mikagura
18;Mealey partner
19;Dr. Petrov
20;Costruzione Kunga
21;Digimon partner di
22;File Isola
23;Mondo Digitale
24;Digimon
25;Rete
26;Ｘ Anticorpi
27;Digivice
28;GIGO Corporation
29;Mostro Digitale
30;Annerimento
31;Memorial Stella
32;Digitalizzazione
33;Re-digitalizzazione
34;Dejitawa
35;Una misteriosa forma di vita digitale
36;Rifiuti
37;Colosseo
38;Digital divide
39;GIGO Corporation
40;GIGO
41;Distorsione dimensionale
42;Palude di ossa anticche
43;Itiumu
44;Tamar
45;LIFE
46;Natura
47;Attributo
48;Mentalita'
49;Emozione
50;Peso
51;Tipo di Digimon
52;Sveglia
53;Stato d'animo
54;Educare
55;Sgridare
56;Memorizzazione Digitale
57;DigiMemory
58;Cordiali Saluti
59;Prontezza
60;La signorina di formazione
61;Formazione
62;Zaino
63;Ristorante
64;Oggetti Negozio
65;Palestra
66;Clinica
67;Caccia al tesoro
68;Negozio Segreto
69;Scheda Collezione
70;Birdramon Trasporti
71;Negozio di Accessori
72;Taiga
73;Collasso
74;
75;
76;
77;
78;
79;
80;
81;
82;
83;
84;
85;
86;
87;
88;
89;
90;
91;
92;
93;
94;
95;
96;
97;
98;
99;
100;
101;
102;
103;
104;
105;
106;
107;
108;
109;
110;
111;
112;
113;
114;
115;
116;
117;
118;
119;
120;
121;
122;
123;
124;
125;
126;
127;
