0;ガーベッジデータ000
1;ガーベッジデータ001
2;ガーベッジデータ002
3;ガーベッジデータ003
4;ガーベッジデータ004
5;ガーベッジデータ005
6;ガーベッジデータ006
7;ガーベッジデータ007
8;ガーベッジデータ008
9;ガーベッジデータ009
10;ガーベッジデータ010
11;ガーベッジデータ011
12;ガーベッジデータ012
13;ジジモンじゃ！
14;メモリアルステラの場所<r2_ばしょ>
15;<n3081>に行<r1_い>くわ！
16;ジジモンの家<r1_いえ>で会<r1_あ>いましょう
17;自分<r2_じぶん>を鍛<r1_きた>えなおすぜ！
18;さっきはサンキューな！
19;戦<r1_たたか>いのカンを取<r1_と>り戻<r1_もど>したいの！
20;さっきのお礼<r1_れい>だよ～
21;ケイコウ洞窟<r2_どうくつ>で待<r1_ま>っています
22;地下<r2_ちか>水路<r2_すいろ>迷宮<r2_めいきゅう>で待<r1_ま>ってる
23;予定<r2_よてい>変更<r2_へんこう>
24;タワーへ行<r1_い>きます
25;ロストしていた反応<r2_はんのう>を発見<r2_はっけん>
26;ダミーガーベッジ発見<r2_はっけん>
27;ダミーガーベッジ見<r1_み>つけたぜ！
28;あったよ、ダミーガーベッジ！
29;別行動<r3_べつこうどう>させてもらいます
30;ガーベッジを、渡<r1_わた>してくれ
31;お前<r1_まえ>はオレの味方<r2_みかた>だよな？
32;どうしよう、どうしよう！？
33;希望<r2_きぼう>は捨<r1_す>てない
34;結論<r2_けつろん>は出<r1_で>ています
35;平原<r2_へいげん>に行<r1_い>くわ！
36;森<r1_もり>を調<r1_しら>べます
37;最後<r2_さいご>のガーベッジ
38;デジヴァイスガイド
39;バトルのおさらい
40;悲<r1_かな>しみをのりこえるのじゃ！
41;予備
42;予備
43;予備
44;予備
45;予備
46;予備
47;予備
48;予備
49;予備
50;いいヤツへ
51;一番<r2_いちばん>弟子<r2_でし>へ
52;むにゃむにゃ
53;浮力<r2_ふりょく>強調<r2_きょうちょう>プログラム
54;ツカイモンから聞<r1_き>いたよ
55;レストランを再開<r2_さいかい>したよ
56;コロシアムとは
57;さっきはごめんねー
58;街<r1_まち>に帰<r1_かえ>れたよ～
59;日々<r2_ひび>、修行<r2_しゅぎょう>あるのみ！
60;教<r1_おし>えてくれてありがとう
61;さっきはありがとよ
62;ヒトデをありがとう
63;街<r1_まち>に戻<r1_もど>れたわい
64;さっきはすまなんだ
65;だまして悪<r1_わる>かった
66;好<r1_す>きなだけ丸太<r2_まるた>割<r1_わ>りしてくれ
67;最高<r2_さいこう>のお肉<r1_にく>が採<r1_と>れました
68;運送屋<r3_うんそうや>をしようと思<r1_おも>うんだ
69;彫像<r2_ちょうぞう>が完成<r2_かんせい>したぞー！
70;…さっきはありがとよ
71;必要なし
72;ゴミでないものを拾<r1_ひろ>ったよ
73;自転車<r3_じてんしゃ>でしあわせだ～
74;街<r1_まち>に戻<r1_もど>れそうだ
75;店<r1_みせ>の売<r1_う>り物<r1_もの>が増<r1_ふ>えたぞ
76;新<r1_あたら>しいお店<r1_みせ>をはじめたよ！
77;ピヨモンレストランＯＰＥＮよ！
78;さっきはありがとう！
79;爆弾<r2_ばくだん>トレーニング
80;新<r1_あたら>しいお店<r1_みせ>をはじめたよ～
81;必要なし
82;バケバケバケ！
83;プラチナヌメモンじゃ！
84;宝<r1_たから>探<r1_さが>し屋<r1_や>
85;ボウシをありがとよ！
86;師匠<r2_ししょう>にあえたよー！
87;私<r1_わたし>の技<r1_わざ>は役<r1_やく>に立<r1_た>っているか？
88;ナイトキャニオンの主<r1_ぬし>へ
89;あぶないところだったー！
90;新<r1_あたら>しい仕事<r2_しごと>を見<r1_み>つけたよ
91;パンチングマシンつかってるか？
92;ネオンのトレーニング使<r1_つか>ってる？
93;カード屋<r1_や>をはじめたんや！
94;必要なし
95;新<r1_あたら>しい店<r1_みせ>を始<r1_はじ>めたぞ
96;レストランに新<r1_しん>メニュー！
97;助<r1_たす>けてくれてありがとよ
98;ジムのトレーニング装置<r2_そうち>強化<r2_きょうか>
99;「はじまりの街」ヘ帰還<r2_きかん>シマス
100;やっぱり彼<r1_かれ>は最高<r2_さいこう>の料理<r2_りょうり>人<r1_にん>ね！
101;必要なし
102;必要なし
103;ぴったりの仕事<r2_しごと>をみつけたぜ！
104;時急<r2_じきゅう>スイッチとは
105;時静<r2_じせい>スイッチとは
106;必要なし
107;助<r1_たす>かったぜ！
108;ドルモンだよ！
109;Xプログラムは
110;エテモンがおとなしくなったぞ！
111;宝探<r2_たからさが>し屋<r1_や>にもどったよ
112;ジジモンの家<r1_いえ>の地下<r2_ちか>だぞ
113;タワーで上級<r2_じょうきゅう>トレーニング
114;必要なし
115;必要なし
116;「<n8020>」
117;「<n8030>」
118;「<n8032>」
119;「<n8038>」
120;「<n8048>」
121;「<n8051>」
122;「<n8055>」
123;「<n8057>」
124;「<n8060>」
125;<n9000>
126;<n9001>
127;<n9002>
128;<n9003>
129;<n9004>
130;<n9005>
131;<n9006>
132;<n9007>
133;<n9008>
134;<n9009>
135;コロシアムバトル解禁<r2_かいきん>のお知<r1_し>らせ
136;コロシアムバトル解禁<r2_かいきん>のお知<r1_し>らせ
137;コロシアムバトル解禁<r2_かいきん>のお知<r1_し>らせ
138;コロシアムバトル解禁<r2_かいきん>のお知<r1_し>らせ
139;コロシアムバトル解禁<r2_かいきん>のお知<r1_し>らせ
140;アイテム送付<r2_そうふ>のお知<r1_し>らせ
141;アイテム送付<r2_そうふ>のお知<r1_し>らせ
142;アイテム送付<r2_そうふ>のお知<r1_し>らせ
143;アイテム送付<r2_そうふ>のお知<r1_し>らせ
144;アイテム送付<r2_そうふ>のお知<r1_し>らせ
145;アイテム送付<r2_そうふ>のお知<r1_し>らせ
146;アイテム送付<r2_そうふ>のお知<r1_し>らせ
147;アイテム送付<r2_そうふ>のお知<r1_し>らせ
